Relation,Candidate_Keys,Functional_Dependency,Determinant,Determinant_Is_A_Candidate_Key,Explanation
Station,Station_Name,Station_Name,the key alone,yes,"The relation holds only its key, so there is nothing to violate."
District,District_Name,District_Name,the key alone,yes,The relation holds only its key.
River,River_Name,River_Name,the key alone,yes,The relation holds only its key.
River_Station,WQ_Station_Name,WQ_Station_Name -> River_Name,the whole key,yes,The approved diagram identifies each monitoring point by its water quality station name. All 323 loaded names are distinct.
Year_Time,Year,Year,the key alone,yes,A calendar year that at least one measurement uses.
Month_Time,"(Year, Month)","(Year, Month)",the key alone,yes,A year and month pair that at least one measurement uses.
Day_Time,"(Year, Month, Day)","(Year, Month, Day)",the key alone,yes,"A calendar date. The foreign key to Month_Time is composite, because two single column foreign keys would not force the year and month to occur together as a valid pair."
Fiscal_Year,"(Start_Year, End_Year)","(Start_Year, End_Year)",the key alone,yes,"Forest statistics report on a July to June fiscal year, so both endpoints are stored and the span is explicit."
Temperature_Record,"(Station_Name, Year, Month, Type)","(Station_Name, Year, Month, Type) -> Temp",the whole key,yes,"Type separates the monthly maximum from the monthly minimum, so it is part of the key rather than a non key attribute."
Humidity_Record,"(Station_Name, Year, Month)","(Station_Name, Year, Month) -> Humidity",the whole key,yes,One relative humidity figure for one station in one month.
Rainfall_Record,"(Station_Name, Year, Month)","(Station_Name, Year, Month) -> Rainfall",the whole key,yes,One rainfall total for one station in one month.
Wind_Record,"(Station_Name, Year, Month, Type)","(Station_Name, Year, Month, Type) -> Wind_Speed, Direction",the whole key,yes,"Speed and direction are recorded as one reading in the source, so both are non key attributes of the same functional dependency."
Climatic_Event_Record,"(Station_Name, Year, Month)","(Station_Name, Year, Month) -> Thunderstorm, Lightning",the whole key,yes,"Both attributes are published monthly event frequencies at the same station, so they share one key and belong in one relation."
Sunshine_Record,"(Station_Name, Year, Month, Day)","(Station_Name, Year, Month, Day) -> Sunshine_Hours",the whole key,yes,Bright sunshine hours for one station on one day.
Radiation_Record,"(Station_Name, Year, Month, Day, Sample_No)","(Station_Name, Year, Month, Day, Sample_No) -> Radiation",the whole key,yes,"Sample_No is the hour of observation. The source sheet labels that column Date, which is a mislabel: the values run 0, 1, 2, 3 while the radiation figures rise from 0.0 through 0.2, 0.8 and 2.0, which is the sun rising during one day and not a change of date."
Water_Quality,"(WQ_Station_Name, Year, Parameter_Type)","(WQ_Station_Name, Year, Parameter_Type) -> Value",the whole key,yes,"Parameter_Type names the measured quantity, and one station reports several parameters in the same year, so it is part of the key."
Size,Size_Name,none beyond the key,the whole key,yes,"A reference relation naming the four enterprise sizes: Micro, Small, Medium and Large."
Industry_Type,Industry_Name,none beyond the key,the whole key,yes,A reference relation naming the industry categories that report reused waste water.
Type_Of_Establishments,"(Size_Name, Start_Year, End_Year)","(Size_Name, Start_Year, End_Year) -> Quantity, Percentage",the whole key,yes,"The fiscal year belongs in the key because the source publishes three years side by side for each of the four sizes. Percentage is Quantity measured against the column total for its own year, so it is derivable. It is kept because the approved diagram carries it and the source publishes it as a separate figure."
Industry_Usage,"(Industry_Name, Start_Year, End_Year)","(Industry_Name, Start_Year, End_Year) -> Quantity, Percentage",the whole key,yes,Quantity stores published produced waste water. Percentage is derived from the published reused and produced amounts as required by the approved diagram; both source amounts remain in the earlier stages.
Forest_Area_Record,"(District_Name, Fiscal_Start_Year, Fiscal_End_Year)",the whole key determines all eight area figures,the whole key,yes,"The two totals are sums of the component areas, so they are derivable. They are kept because a stored total lets a load time check catch an extraction error, and the source contains one: district Gazipur is published as 65.173.21 where the computed total is 65173.21."
