Scope,Item,What it holds,Size,Why it is excluded
Source,"HDX, all 12 files","Greenhouse gas emissions by city and by sector, gridded rainfall by administrative unit, and World Health Organization air pollution indicators",407192 rows,"Excluded by decision. Not one of these files shares a key with the approved diagram. The emissions files are keyed by city or by industrial facility, the rainfall file by a satellite grid code such as BD10, and the indicator files by country. None is keyed by a weather station, a district or a river, so no row can join to any relation in the schema. Loading them would produce a second, unconnected database inside the first."
Source,DoE,Ambient air quality and surface water quality reports,2 files,"Air quality is measured at continuous air monitoring stations, which are a different station network from the weather stations the diagram holds. The water quality report publishes monthly figures, and the approved Water_Quality relation is keyed by year, so a monthly figure has no column to occupy."
Source,MoEFCC,"Climate change strategy, action plan and investment plan documents",5 files,"These are policy documents. The extracted sheets hold budget lines, programme names and narrative text, not environmental measurements, so there is no measured quantity to load."
Source,UNESCO,State of conservation reporting on the Sundarbans,4 files,"Site level narrative reporting on one World Heritage property. It carries no station, district or river key, and no repeated measurement series."
Source,WHO,Climate change and health country profiles,2 files,Health indicators rather than environmental measurements. The subject is outside the scope the diagram draws.
Source,WorldBank,Urban country environmental analysis,1 file,"A single analytical report. Its figures are national aggregates, which the diagram has no relation to hold."
Source,UN,Environmental statistics framework and a pilot survey,2 files,"A framework document listing which indicators a country should collect, not the collected values themselves."
Source,Other,"Food and Agriculture Organization forest inventory reports, an energy operations report and academic datasets",13 files,Mixed provenance and mixed subject. The Food and Agriculture Organization files are inventory methodology and plot level forest measurements that do not reconcile with the district level forest areas the diagram holds.
BBS sheet,Theme 2 table,"For example: T2.001b Natural Gas Reserve in Bangladesh Unit: Billion Cubi; T2.002 Production and Trade of Minerals, 2010-11 to 2023-24; T2.002b Production and Trade of Minerals, 2010-11 to 202324",60 sheets,Demographic and socio-economic. The approved Entity Relationship diagram draws no entity for this subject. Loading these sheets would mean adding entities the team has not designed and the supervisor has not approved.
BBS sheet,Theme 1 table,For example: T1.04 Annual Rainfall at Selected Stations of Bangladesh 2; T1.22 Main Rivers According to Length; T1.24 Areas of Major Standing Water Bodies,43 sheets,"Environment and natural resources. This is the theme whose subject the diagram chiefly covers: 22 of the 24 sheets the load reads come from it, the other two being the waste water tables T3.14 and T3.22. The 43 sheets left out of this theme are excluded for a reason of grain or of shape rather than of subject: an annual total where the relation needs a month, a decade average where it needs a year, a list inside one cell, or a quantity such as soil salinity, sea area or river length for which the diagram draws no attribute. The named entries in the next section work four of them through in full."
BBS sheet,Theme 4 table,For example: T 4.05 Occurrence of Natural Extreme Events and Disasters b; T 4.05 (2) Occurrence of Natural Extreme Events and Disasters b; T 4.05 (4) Occurrence of Natural Extreme Events and Disasters b,39 sheets,Hazard and natural disaster. The approved Entity Relationship diagram draws no entity for this subject. Loading these sheets would mean adding entities the team has not designed and the supervisor has not approved.
BBS sheet,GIS layer inventory,For example: GIS T_1 Land Areas of Bangladesh; GIS T_1 (2) Maritime Areas of Bangladesh; GIS T_10 Coastal Areas in Bangladesh by Districts,39 sheets,"Each sheet is the attribute table of one map layer. Where a layer does carry climate figures, they are averages over a decade, written as 1988-1998 or 2009-2018. The approved diagram keys every climate relation by a single Year, so a decade cannot be stored without inventing a year that was never measured."
BBS sheet,Theme 3 table,"For example: T 3.01 Emissions of Greenhouse Gases by Category, 2005, 201; T 3.01 (12) Emissions of Greenhouse Gases by Category, 2019-2024; T 3.01 (13) Emissions of Greenhouse Gases by Category, 2019-2024",24 sheets,"Environmental protection and management. Two sheets from this theme are loaded, T3.14 and T3.22, because the diagram draws Type_Of_Establishments and Industry_Type against the reused waste water figures. The remaining 24 are excluded: they publish greenhouse gas emissions by category, environmental expenditure and protection programme figures, for which the diagram draws no entity."
BBS sheet,Theme 5 table,For example: T 5.01 Population Living in Urban Area; T 5.01 (2) Population Living in Rural Areas; T 5.01 (3) Number of Total Urban Areas,20 sheets,Human settlement and dwelling. The approved Entity Relationship diagram draws no entity for this subject. Loading these sheets would mean adding entities the team has not designed and the supervisor has not approved.
BBS sheet,Theme narrative page,For example: Administrative Information Administrative Boundary; Climate and Climate Change Weather and Climate; Demographic and Socio-ecomonic Socio-Economic Indicators,8 sheets,Running text introducing a thematic area. There are no rows and no columns to normalize.
BBS sheet,Theme 6 table,For example: T 6.01 Government environmental protection and resource man; T 6.03 (2) Total Expenditure (Current and Capital Expenditure) ; T 6.03 (3) Total Expenditure (Current & Capital) to Protect Env,8 sheets,Ecosystem and biodiversity. The approved Entity Relationship diagram draws no entity for this subject. Loading these sheets would mean adding entities the team has not designed and the supervisor has not approved.
BBS sheet,Workbook front matter,For example: Content Contents of Thematic Areas; Template Name of the Indicators,2 sheets,A table of contents and a blank indicator template. Neither holds data.
"BBS sheet, named",T1.04,Annual Rainfall at Selected Stations of Bangladesh 2011-18,1 sheet,"The figure is one annual total per station. Rainfall_Record is keyed by station, year and month, so an annual total has no month to occupy. Splitting it across twelve months would invent twelve numbers that were never measured, and storing it under a single month would be false."
"BBS sheet, named",T1.22,Main Rivers According to Length,1 sheet,"The Area covered column holds a list inside one cell, for example Sylhet (180), Cumilla (95). That breaks First Normal Form, and the approved River relation carries only the river name, so there is no attribute for length or covered area to move into."
"BBS sheet, named",GIS T_7,Maximum Average Temperature During 1988 - 2018 and 2021,1 sheet,The columns are decade averages. See the GIS layer inventory entry.
"BBS sheet, named",GIS T_9,Average Rainfall During 1988 - 2018 and 2021,1 sheet,The columns are decade averages. See the GIS layer inventory entry.
"BBS sheet, named",T1.41,"Salinization by District, 1973, 2000, 2009",1 sheet,"Soil salinity by district. The diagram has no soil entity, and the years do not overlap the 2011 to 2024 window every other source covers."
BMD file,"Daily Normal Maximum Temperature, Daily Normal Minimum Temperature, Daily Normal Rainfall, Monthly Humidity Normal Data, Monthly Maximum Temperature, Monthly Minimum Temperature, Normal Monthly Rainfall, Normal Monthly Rainy Day, Normal Wind Speed","Long term normal values: daily and monthly normal maximum and minimum temperature, normal rainfall, normal rainy days, normal humidity and normal wind speed",9 files,"Excluded by decision. A normal is an average over a thirty year reference period, not a measurement of a particular month. The approved climate relations are keyed by year and month, so a normal has no year to occupy. Loading a normal beside a measured value would also mean two different kinds of number in the same column, and a query could not tell them apart."
BRRI file,"BRRI_Additional_Climate_File_1.xlsx, BRRI_Additional_Climate_File_2.xlsx, BRRI_Additional_Climate_File_3.xls, BRRI_Additional_Climate_File_4.xls",Additional climate files supplied alongside the five daily series,4 files,"These repeat the same measured quantities as the five daily files that are loaded, for overlapping stations and dates, without stating which is the corrected version. Loading both would create duplicate keys whose disagreement no rule in the source resolves."
